complaint_id,timestamp,complaint_text,category,latitude,longitude,ward_id,status
C0097,2026-06-19 06:27:00,Road surface damaged,Road,19.066148,72.882248,W004,Open
C0098,2026-01-16 05:50:00,Water leakage on road,Water,19.088076,72.87249,W005,In Progress
C0099,2026-04-30 22:19:00,Street light not working,Electricity,19.091997,72.874427,W005,In Progress
C0100,2026-01-21 19:02:00,Electric pole damaged,Electricity,19.098894,72.884345,W009,In Progress
C0101,2026-02-28 21:53:00,Garbage not collected,Waste,19.093605,72.870871,W005,Open
C0102,2026-05-01 16:41:00,Garbage overflowing,Waste,19.089422,72.867782,W005,In Progress
C0103,2026-05-01 11:26:00,Street light not working,Electricity,19.080333,72.893701,W007,Open
C0104,2026-03-15 21:25:00,Electric pole damaged,Electricity,19.068136,72.890501,W006,Resolved
C0105,2026-03-24 03:49:00,Large pothole on main road,Road,19.079042,72.880146,W002,Open
C0106,2026-01-14 06:33:00,Electric pole damaged,Electricity,19.093618,72.884564,W009,In Progress
C0107,2026-03-10 17:08:00,Garbage overflowing,Waste,19.072277,72.871381,W008,In Progress
C0108,2026-06-11 19:51:00,Garbage not collected,Waste,19.065393,72.868584,W008,In Progress
C0109,2026-02-27 03:29:00,Street light not working,Electricity,19.080471,72.879177,W001,Open
C0110,2026-06-30 08:26:00,Road surface damaged,Road,19.071347,72.876802,W008,Open
C0111,2026-02-18 19:32:00,Pipeline leakage,Water,19.070463,72.868365,W008,Open
C0112,2026-05-10 08:52:00,Power line issue,Electricity,19.085026,72.872261,W005,In Progress
C0113,2026-04-25 17:30:00,Street light damaged,Electricity,19.058451,72.878519,W010,In Progress
C0114,2026-02-18 22:15:00,Power line issue,Electricity,19.082718,72.889336,W007,Resolved
C0115,2026-06-30 12:24:00,Broken footpath,Road,19.080884,72.880624,W001,In Progress
C0116,2026-02-02 16:37:00,Street light not working,Electricity,19.08332,72.871004,W003,Resolved
C0117,2026-02-06 13:55:00,Street light not working,Electricity,19.081548,72.876544,W002,Resolved
C0118,2026-06-27 12:41:00,Road surface damaged,Road,19.085803,72.868286,W005,In Progress
C0119,2026-06-10 22:56:00,Power line issue,Electricity,19.097594,72.885724,W009,Open
C0120,2026-06-11 21:58:00,Garbage overflowing,Waste,19.057874,72.875275,W010,Open
C0121,2026-04-24 05:44:00,Garbage not collected,Waste,19.079995,72.887289,W007,Resolved
C0122,2026-04-06 13:09:00,Large pothole on main road,Road,19.073442,72.876821,W001,In Progress
C0123,2026-01-21 19:55:00,Water supply interruption,Water,19.083825,72.876831,W003,Resolved
C0124,2026-04-29 20:16:00,Water supply interruption,Water,19.059596,72.879668,W010,Resolved
C0125,2026-04-24 11:37:00,Water leakage on road,Water,19.087992,72.87462,W005,In Progress
C0126,2026-02-20 12:54:00,Power line issue,Electricity,19.089832,72.867372,W005,In Progress
C0127,2026-01-06 21:25:00,Large pothole on main road,Road,19.062745,72.890659,W006,In Progress
C0128,2026-02-28 19:51:00,Power line issue,Electricity,19.074523,72.879066,W001,In Progress
C0129,2026-06-10 20:02:00,Water leakage on road,Water,19.088089,72.869408,W005,In Progress
C0130,2026-03-17 10:47:00,Water leakage on road,Water,19.064155,72.887008,W006,In Progress
C0131,2026-03-07 15:51:00,Road damaged,Road,19.062951,72.893704,W006,Open
C0132,2026-02-27 21:46:00,Garbage overflowing,Waste,19.069744,72.870974,W008,In Progress
C0133,2026-01-04 08:34:00,Waste dumped on road,Waste,19.061236,72.888686,W006,In Progress
C0134,2026-01-28 21:14:00,Power line issue,Electricity,19.089715,72.871195,W005,In Progress
C0135,2026-06-12 14:58:00,Water leakage on road,Water,19.067011,72.891492,W006,Open
C0136,2026-03-19 15:07:00,Garbage not collected,Waste,19.080972,72.878873,W003,Open
C0137,2026-06-21 23:44:00,Power line issue,Electricity,19.08646,72.891191,W007,In Progress
C0138,2026-05-06 19:26:00,Street light not working,Electricity,19.089391,72.872797,W003,In Progress
C0139,2026-04-24 07:54:00,Pipeline leakage,Water,19.063627,72.894809,W006,Resolved
C0140,2026-04-12 08:12:00,Pothole near bus stop,Road,19.099682,72.88649,W009,Resolved
C0141,2026-01-06 01:50:00,Dirty water supply,Water,19.078335,72.884888,W002,In Progress
C0142,2026-02-23 18:13:00,Dustbin is full,Waste,19.073131,72.88233,W004,Open
C0143,2026-02-07 04:34:00,Waste collection delayed,Waste,19.057507,72.874745,W010,In Progress
C0144,2026-04-02 07:37:00,Water leakage on road,Water,19.074238,72.874442,W001,Open
C0145,2026-01-30 23:04:00,Street light flickering,Electricity,19.084762,72.87778,W003,In Progress
C0146,2026-05-09 07:39:00,Waste dumped on road,Waste,19.055434,72.880832,W010,In Progress
C0147,2026-06-14 00:03:00,Broken footpath,Road,19.099986,72.885473,W009,Resolved
C0148,2026-01-19 02:20:00,Electric pole damaged,Electricity,19.081083,72.875657,W002,Resolved
C0149,2026-06-02 16:18:00,Broken footpath,Road,19.059537,72.879054,W010,Open
C0150,2026-04-26 07:26:00,Pipeline leakage,Water,19.078389,72.879535,W002,Resolved
C0151,2026-03-22 21:16:00,Broken footpath,Road,19.078743,72.876526,W002,Resolved
C0152,2026-01-24 13:06:00,Garbage not collected,Waste,19.082446,72.878726,W002,Open
C0153,2026-05-24 17:21:00,Dustbin is full,Waste,19.0967,72.881108,W009,In Progress
C0154,2026-06-03 09:22:00,Waste collection delayed,Waste,19.078036,72.892074,W007,Open
C0155,2026-03-31 17:23:00,Water leakage on road,Water,19.064149,72.869786,W008,Open
C0156,2026-06-18 22:17:00,Dustbin is full,Waste,19.07729,72.889733,W007,Resolved
C0157,2026-02-16 04:36:00,Pothole near bus stop,Road,19.066573,72.885696,W006,In Progress
C0158,2026-02-25 12:26:00,Dustbin is full,Waste,19.075536,72.874274,W001,Resolved
C0159,2026-02-09 05:48:00,Garbage not collected,Waste,19.066178,72.89174,W006,Resolved
C0160,2026-06-05 14:26:00,Electric pole damaged,Electricity,19.065732,72.874549,W008,Open
C0161,2026-03-14 21:43:00,Street light not working,Electricity,19.065931,72.890269,W006,Resolved
C0162,2026-06-03 01:00:00,Pipeline leakage,Water,19.073044,72.882153,W001,Open
C0163,2026-01-31 00:31:00,Large pothole on main road,Road,19.09247,72.866757,W005,Resolved
C0164,2026-05-24 21:51:00,Dirty water supply,Water,19.093542,72.880971,W009,In Progress
C0165,2026-04-28 02:55:00,Street light not working,Electricity,19.074131,72.876993,W001,Resolved
C0166,2026-04-14 00:20:00,Pothole near bus stop,Road,19.078719,72.896476,W007,Resolved
C0167,2026-01-28 07:27:00,Waste dumped on road,Waste,19.065889,72.89024,W006,Resolved
C0168,2026-03-27 05:04:00,Road damaged,Road,19.090105,72.86614,W005,In Progress
C0169,2026-06-15 04:15:00,Large pothole on main road,Road,19.066028,72.88256,W004,Open
C0170,2026-02-15 20:31:00,Water leakage on road,Water,19.05964,72.878637,W010,In Progress
C0171,2026-02-08 14:04:00,Large pothole on main road,Road,19.067689,72.873314,W008,Resolved
C0172,2026-05-10 02:19:00,Waste collection delayed,Waste,19.059617,72.873376,W010,Resolved
C0173,2026-06-07 19:32:00,Garbage not collected,Waste,19.088845,72.870803,W005,In Progress
C0174,2026-06-16 06:20:00,Street light flickering,Electricity,19.07705,72.877714,W001,Open
C0175,2026-01-22 16:41:00,Waste collection delayed,Waste,19.064726,72.869477,W008,Resolved
C0176,2026-04-06 09:24:00,Low water pressure,Water,19.067088,72.870384,W008,In Progress
C0177,2026-03-26 03:35:00,Pothole near bus stop,Road,19.077784,72.875541,W001,In Progress
C0178,2026-01-21 18:42:00,Low water pressure,Water,19.056414,72.876498,W010,In Progress
C0179,2026-01-22 09:35:00,Dirty water supply,Water,19.080767,72.894917,W007,Open
C0180,2026-05-11 11:01:00,Waste dumped on road,Waste,19.093626,72.878803,W009,Open
C0181,2026-02-27 04:09:00,Street light damaged,Electricity,19.060772,72.893444,W006,Open
C0182,2026-06-08 04:38:00,Waste collection delayed,Waste,19.093767,72.878622,W009,In Progress
C0183,2026-01-12 13:23:00,Pipeline leakage,Water,19.061764,72.875375,W010,Resolved
C0184,2026-03-01 17:15:00,Broken footpath,Road,19.058095,72.881086,W010,Resolved
C0185,2026-04-23 14:49:00,Road surface damaged,Road,19.067818,72.883819,W004,In Progress
C0186,2026-06-04 04:55:00,Water supply interruption,Water,19.0795,72.893412,W007,Resolved
C0187,2026-02-01 09:05:00,Dustbin is full,Waste,19.097631,72.879728,W009,In Progress
C0188,2026-02-26 14:56:00,Street light not working,Electricity,19.083496,72.870267,W003,Open
C0189,2026-04-09 02:23:00,Road damaged,Road,19.079245,72.890187,W007,Open
C0190,2026-01-10 09:58:00,Water supply interruption,Water,19.068298,72.891961,W006,Open
C0191,2026-01-02 02:01:00,Street light flickering,Electricity,19.065559,72.87535,W008,In Progress
C0192,2026-03-15 07:19:00,Street light not working,Electricity,19.056218,72.875384,W010,In Progress
C0193,2026-01-29 15:38:00,Street light not working,Electricity,19.060361,72.87932,W010,In Progress
C0194,2026-04-20 00:39:00,Low water pressure,Water,19.068528,72.885707,W004,Open
C0195,2026-05-15 17:32:00,Pothole near bus stop,Road,19.082864,72.880076,W002,Open
C0196,2026-06-12 12:23:00,Street light not working,Electricity,19.079537,72.887162,W007,Open
C0197,2026-05-29 23:48:00,Water leakage on road,Water,19.063325,72.885443,W006,In Progress
C0198,2026-06-28 15:40:00,Pipeline leakage,Water,19.061823,72.886349,W006,In Progress
C0199,2026-02-21 01:50:00,Waste collection delayed,Waste,19.064995,72.867419,W008,Resolved
C0200,2026-05-02 08:02:00,Street light flickering,Electricity,19.097533,72.878911,W009,Resolved
C0201,2026-02-01 11:27:00,Large pothole on main road,Road,19.079895,72.880133,W001,Resolved
C0202,2026-06-27 15:23:00,Pipeline leakage,Water,19.069243,72.890193,W006,Open
C0203,2026-06-04 05:34:00,Waste dumped on road,Waste,19.079938,72.888026,W007,Resolved
C0204,2026-06-04 22:27:00,Broken footpath,Road,19.086666,72.869439,W005,Resolved
C0205,2026-04-22 08:40:00,Road surface damaged,Road,19.0808,72.882179,W001,Open
C0206,2026-06-23 05:01:00,Road surface damaged,Road,19.078428,72.893076,W007,Resolved
C0207,2026-03-02 20:23:00,Water leakage on road,Water,19.074622,72.882195,W001,Open
C0208,2026-04-05 11:28:00,Pipeline leakage,Water,19.062631,72.878739,W010,In Progress
C0209,2026-06-16 08:15:00,Power line issue,Electricity,19.069605,72.885259,W006,Open
C0210,2026-01-31 08:49:00,Street light flickering,Electricity,19.065603,72.871463,W008,In Progress
C0211,2026-02-01 04:54:00,Street light damaged,Electricity,19.085741,72.866727,W005,In Progress
C0212,2026-06-20 11:45:00,Waste collection delayed,Waste,19.063649,72.872422,W008,Resolved
C0213,2026-05-11 07:07:00,Low water pressure,Water,19.089851,72.877921,W003,Open
C0214,2026-05-22 18:23:00,Waste collection delayed,Waste,19.067674,72.87683,W008,Open
C0215,2026-03-21 12:45:00,Garbage not collected,Waste,19.062189,72.878257,W010,Resolved
C0216,2026-03-23 20:04:00,Garbage overflowing,Waste,19.0595,72.879801,W010,Resolved
C0217,2026-04-21 16:58:00,Water supply interruption,Water,19.088682,72.878314,W003,In Progress
C0218,2026-02-11 10:59:00,Road damaged,Road,19.087093,72.87346,W003,In Progress
C0219,2026-02-20 20:35:00,Waste collection delayed,Waste,19.087745,72.87125,W005,In Progress
C0220,2026-06-14 05:37:00,Dustbin is full,Waste,19.099416,72.878542,W009,In Progress
C0221,2026-01-11 00:05:00,Road surface damaged,Road,19.055455,72.879415,W010,In Progress
C0222,2026-04-17 19:40:00,Dirty water supply,Water,19.085303,72.87389,W005,In Progress
C0223,2026-03-04 21:25:00,Broken footpath,Road,19.087974,72.86573,W005,Open
C0224,2026-05-04 14:13:00,Electric pole damaged,Electricity,19.083402,72.871437,W003,In Progress
C0225,2026-02-03 11:32:00,Broken footpath,Road,19.065617,72.888191,W006,Resolved
C0226,2026-03-05 04:06:00,Broken footpath,Road,19.075506,72.884454,W002,In Progress
C0227,2026-03-25 18:46:00,Water supply interruption,Water,19.080127,72.894631,W007,Resolved
C0228,2026-03-20 15:01:00,Electric pole damaged,Electricity,19.0909,72.880932,W009,Resolved
C0229,2026-04-01 01:03:00,Dirty water supply,Water,19.067814,72.885975,W004,In Progress
C0230,2026-01-03 03:27:00,Road surface damaged,Road,19.064339,72.869645,W008,Resolved
C0231,2026-04-13 01:36:00,Pothole near bus stop,Road,19.082618,72.890625,W007,Resolved
C0232,2026-04-26 17:17:00,Street light flickering,Electricity,19.083253,72.881232,W002,In Progress
C0233,2026-04-11 11:50:00,Water leakage on road,Water,19.084868,72.880578,W002,Resolved
C0234,2026-05-11 12:32:00,Dirty water supply,Water,19.080403,72.870389,W003,In Progress
C0235,2026-04-27 04:38:00,Street light flickering,Electricity,19.068931,72.886398,W006,In Progress
C0236,2026-06-07 23:53:00,Pipeline leakage,Water,19.062992,72.888364,W006,In Progress
C0237,2026-03-18 15:52:00,Street light flickering,Electricity,19.090166,72.880312,W009,Open
C0238,2026-06-02 15:16:00,Pothole near bus stop,Road,19.086671,72.894829,W007,In Progress
C0239,2026-05-30 15:10:00,Water leakage on road,Water,19.060242,72.880212,W010,Resolved
C0240,2026-05-27 22:07:00,Water leakage on road,Water,19.081908,72.87441,W003,Resolved
C0241,2026-04-16 16:49:00,Street light damaged,Electricity,19.086115,72.874716,W003,In Progress
C0242,2026-02-23 17:20:00,Dirty water supply,Water,19.080981,72.877484,W001,Resolved
C0243,2026-05-17 10:34:00,Pipeline leakage,Water,19.063543,72.89272,W006,In Progress
C0244,2026-03-05 08:35:00,Street light damaged,Electricity,19.087985,72.874415,W005,Resolved
C0245,2026-03-23 15:22:00,Pipeline leakage,Water,19.090605,72.874345,W005,In Progress
C0246,2026-05-27 21:34:00,Pothole near bus stop,Road,19.088797,72.874802,W005,Resolved
C0247,2026-03-15 22:05:00,Pothole near bus stop,Road,19.083464,72.874424,W003,Resolved
C0248,2026-05-18 08:59:00,Water supply interruption,Water,19.06862,72.869716,W008,Open
C0249,2026-01-13 21:57:00,Water supply interruption,Water,19.06031,72.879379,W010,Open
C0250,2026-05-01 03:43:00,Power line issue,Electricity,19.082708,72.875052,W002,In Progress
C0251,2026-05-03 20:12:00,Electric pole damaged,Electricity,19.087559,72.872872,W003,Resolved
C0252,2026-03-01 17:47:00,Dustbin is full,Waste,19.078231,72.882067,W001,Open
C0253,2026-04-12 15:11:00,Water leakage on road,Water,19.086366,72.896621,W007,Resolved
C0254,2026-05-26 19:06:00,Waste collection delayed,Waste,19.080285,72.87605,W001,Resolved
C0255,2026-05-10 14:17:00,Street light damaged,Electricity,19.091928,72.878126,W009,Open
C0256,2026-01-04 23:21:00,Road damaged,Road,19.070908,72.872678,W008,Open
C0257,2026-05-12 10:05:00,Electric pole damaged,Electricity,19.084008,72.870954,W003,Open
C0258,2026-01-02 08:24:00,Road damaged,Road,19.065355,72.874538,W008,Resolved
C0259,2026-06-17 11:44:00,Waste collection delayed,Waste,19.087363,72.871678,W005,Resolved
C0260,2026-06-25 16:59:00,Pipeline leakage,Water,19.093951,72.872036,W005,Resolved
C0261,2026-06-07 07:14:00,Large pothole on main road,Road,19.084574,72.879782,W002,Resolved
C0262,2026-06-29 17:58:00,Broken footpath,Road,19.059708,72.878375,W010,In Progress
C0263,2026-01-21 16:28:00,Dirty water supply,Water,19.070282,72.883618,W004,In Progress
C0264,2026-05-10 06:36:00,Dustbin is full,Waste,19.080367,72.876645,W002,In Progress
C0265,2026-05-30 15:05:00,Garbage overflowing,Waste,19.071989,72.871455,W008,Open
C0266,2026-04-17 14:36:00,Dirty water supply,Water,19.063577,72.871624,W008,Resolved
C0267,2026-01-01 23:13:00,Power line issue,Electricity,19.076783,72.873153,W001,Resolved
C0268,2026-05-01 01:18:00,Garbage not collected,Waste,19.079089,72.88269,W002,In Progress
C0269,2026-04-25 12:24:00,Broken footpath,Road,19.077802,72.896641,W007,In Progress
C0270,2026-02-15 17:25:00,Pothole near bus stop,Road,19.085288,72.877279,W003,Open
C0271,2026-04-29 21:46:00,Waste collection delayed,Waste,19.076444,72.878019,W001,Open
C0272,2026-02-09 08:12:00,Power line issue,Electricity,19.074374,72.88725,W004,Open
C0273,2026-01-05 07:13:00,Street light flickering,Electricity,19.071673,72.878639,W001,Resolved
C0274,2026-01-12 12:28:00,Garbage overflowing,Waste,19.057343,72.875173,W010,Open
C0275,2026-05-28 10:36:00,Road damaged,Road,19.085979,72.876725,W003,Resolved
C0276,2026-06-19 16:14:00,Road damaged,Road,19.069136,72.882752,W004,In Progress
C0277,2026-05-23 15:03:00,Pipeline leakage,Water,19.064723,72.882416,W010,In Progress
C0278,2026-04-15 04:19:00,Broken footpath,Road,19.080765,72.894544,W007,Resolved
C0279,2026-02-06 14:58:00,Low water pressure,Water,19.065576,72.884127,W004,Resolved
C0280,2026-03-04 08:13:00,Pipeline leakage,Water,19.093303,72.877791,W009,Resolved
C0281,2026-02-18 01:17:00,Dustbin is full,Waste,19.063772,72.89105,W006,Open
C0282,2026-06-21 17:13:00,Dirty water supply,Water,19.079794,72.883695,W002,Resolved
C0283,2026-02-18 23:07:00,Garbage overflowing,Waste,19.092469,72.872543,W005,Open
C0284,2026-03-03 17:20:00,Pipeline leakage,Water,19.062755,72.876807,W010,In Progress
C0285,2026-04-03 16:56:00,Large pothole on main road,Road,19.064973,72.885986,W006,In Progress
C0286,2026-04-05 10:26:00,Road damaged,Road,19.063457,72.875641,W008,In Progress
C0287,2026-05-22 18:37:00,Waste collection delayed,Waste,19.0872,72.872952,W003,Open
C0288,2026-05-26 07:31:00,Pipeline leakage,Water,19.065506,72.894435,W006,Resolved
C0289,2026-04-28 05:46:00,Electric pole damaged,Electricity,19.09295,72.866693,W005,In Progress
C0290,2026-05-19 20:03:00,Street light damaged,Electricity,19.095239,72.885391,W009,Open
C0291,2026-02-05 20:14:00,Waste dumped on road,Waste,19.07168,72.87421,W001,Open
C0292,2026-01-16 19:40:00,Power line issue,Electricity,19.096668,72.883165,W009,Resolved
C0293,2026-05-17 17:26:00,Garbage not collected,Waste,19.063119,72.872294,W008,Resolved
C0294,2026-05-09 22:43:00,Pothole near bus stop,Road,19.094306,72.886397,W009,Open
C0295,2026-02-08 07:12:00,Dustbin is full,Waste,19.081198,72.877524,W002,Resolved
C0296,2026-04-06 12:29:00,Street light not working,Electricity,19.09065,72.874902,W005,Open
C0297,2026-01-24 12:24:00,Garbage not collected,Waste,19.088772,72.86976,W005,In Progress
C0298,2026-05-08 13:41:00,Water leakage on road,Water,19.078844,72.878359,W001,Open
C0299,2026-02-24 22:56:00,Garbage overflowing,Waste,19.095668,72.879711,W009,Open
C0300,2026-03-22 00:13:00,Garbage overflowing,Waste,19.09087,72.872523,W005,In Progress
C0301,2026-02-11 18:15:00,Waste collection delayed,Waste,19.082667,72.895494,W007,In Progress
C0302,2026-02-05 22:46:00,Broken footpath,Road,19.090784,72.884455,W009,Resolved
