ward_code,urban_stress_index,priority_domain,priority_domain_score,domain_pressure_band,top_indicator,top_indicator_stress,evidence_indicator_count,primary_indicator_count,evidence_confidence,suggested_intervention,recommendation_basis,explanation
N,64.0159357550662,Healthcare,87.5,Very High Relative Pressure,Population per healthcare facility,87.5,1,0.0,Medium,Assess healthcare capacity and accessibility,The ward has comparatively high healthcare service pressure.,Healthcare is the highest-stress domain with an indicator-level stress value of 87.50. The leading evidence indicator is 'Population per healthcare facility'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
PS,54.29881109228936,Healthcare,83.33333333333334,Very High Relative Pressure,Population per healthcare facility,83.33333333333334,1,0.0,Medium,Assess healthcare capacity and accessibility,The ward has comparatively high healthcare service pressure.,Healthcare is the highest-stress domain with an indicator-level stress value of 83.33. The leading evidence indicator is 'Population per healthcare facility'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
PN,59.6085074345944,Green Space,79.16666666666666,High Relative Pressure,Green spaces per km²,87.5,2,0.0,High,Assess green-space availability and accessibility,The ward has comparatively high green-space pressure.,Green Space is the highest-stress domain with an indicator-level stress value of 87.50. The leading evidence indicator is 'Green spaces per km²'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
B,60.695071836376194,Civic,98.61111111111111,Very High Relative Pressure,"Civic complaints per 1,000 population",100.0,3,2.0,High,Prioritize civic-service response and resolution assessment,The ward has comparatively high civic complaint pressure.,"Civic is the highest-stress domain with an indicator-level stress value of 100.00. The leading evidence indicator is 'Civic complaints per 1,000 population'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions."
RC,47.792364640190726,Safety,69.26877470355731,High Relative Pressure,Population per fire station,86.36363636363636,2,0.0,High,Assess police and fire-service accessibility,The ward has comparatively high emergency-service pressure.,Safety is the highest-stress domain with an indicator-level stress value of 86.36. The leading evidence indicator is 'Population per fire station'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
KE,42.672062237279626,Civic,66.66666666666666,High Relative Pressure,Average complaint resolution days,79.16666666666666,3,0.0,High,Prioritize civic-service response and resolution assessment,The ward has comparatively high civic complaint pressure.,Civic is the highest-stress domain with an indicator-level stress value of 79.17. The leading evidence indicator is 'Average complaint resolution days'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
L,52.2299861973775,Safety,91.30434782608695,Very High Relative Pressure,Population per fire station,100.0,2,1.0,High,Assess police and fire-service accessibility,The ward has comparatively high emergency-service pressure.,Safety is the highest-stress domain with an indicator-level stress value of 100.00. The leading evidence indicator is 'Population per fire station'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
S,46.94185645272602,Transport,70.83333333333334,High Relative Pressure,Transport nodes per km²,75.0,1,0.0,Medium,Assess public transport accessibility and coverage,The ward has comparatively high transport-access pressure.,Transport is the highest-stress domain with an indicator-level stress value of 75.00. The leading evidence indicator is 'Transport nodes per km²'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
RN,37.27296254470168,Safety,75.49407114624506,High Relative Pressure,Population per police station,78.26086956521739,2,0.0,High,Assess police and fire-service accessibility,The ward has comparatively high emergency-service pressure.,Safety is the highest-stress domain with an indicator-level stress value of 78.26. The leading evidence indicator is 'Population per police station'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
KW,66.98036263253655,Healthcare,95.83333333333334,Very High Relative Pressure,Population per healthcare facility,95.83333333333334,1,0.0,Medium,Assess healthcare capacity and accessibility,The ward has comparatively high healthcare service pressure.,Healthcare is the highest-stress domain with an indicator-level stress value of 95.83. The leading evidence indicator is 'Population per healthcare facility'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
A,40.91301210866428,Civic,90.9722222222222,Very High Relative Pressure,"Unresolved complaints per 1,000 population",95.83333333333334,3,0.0,High,Prioritize civic-service response and resolution assessment,The ward has comparatively high civic complaint pressure.,"Civic is the highest-stress domain with an indicator-level stress value of 95.83. The leading evidence indicator is 'Unresolved complaints per 1,000 population'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions."
C,56.042960662525886,Sanitation,95.83333333333334,Very High Relative Pressure,Population per public toilet,95.83333333333334,1,0.0,Medium,Assess public sanitation and toilet capacity,The ward has comparatively high sanitation service pressure.,Sanitation is the highest-stress domain with an indicator-level stress value of 95.83. The leading evidence indicator is 'Population per public toilet'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
D,48.07939644896168,Healthcare,100.0,Very High Relative Pressure,Population per healthcare facility,100.0,1,1.0,Medium,Assess healthcare capacity and accessibility,The ward has comparatively high healthcare service pressure.,Healthcare is the highest-stress domain with an indicator-level stress value of 100.00. The leading evidence indicator is 'Population per healthcare facility'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
FS,45.11457745153398,Green Space,93.75,Very High Relative Pressure,Green spaces per km²,95.83333333333334,2,1.0,High,Assess green-space availability and accessibility,The ward has comparatively high green-space pressure.,Green Space is the highest-stress domain with an indicator-level stress value of 95.83. The leading evidence indicator is 'Green spaces per km²'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
