ward_code,scenario,intervention,affected_domain,affected_indicator,baseline_pressure,scenario_pressure,pressure_change,effect,explanation
N,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,64.0159357550662,62.23022146935192,-1.7857142857142776,Modeled pressure decreases,"For ward N, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PS,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,54.29881109228936,49.53690633038459,-4.761904761904773,Modeled pressure decreases,"For ward PS, the scenario 'Increase modeled healthcare capacity by 20%' produces a -4.76-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PN,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,59.6085074345944,56.037078863165824,-3.5714285714285694,Modeled pressure decreases,"For ward PN, the scenario 'Increase modeled healthcare capacity by 20%' produces a -3.57-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
B,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,60.99269088399524,56.826024217328566,-4.166666666666671,Modeled pressure decreases,"For ward B, the scenario 'Increase modeled healthcare capacity by 20%' produces a -4.17-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RC,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,47.792364640190726,44.816174164000245,-2.9761904761904816,Modeled pressure decreases,"For ward RC, the scenario 'Increase modeled healthcare capacity by 20%' produces a -2.98-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KE,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,42.672062237279626,41.48158604680344,-1.1904761904761898,Modeled pressure decreases,"For ward KE, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
L,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,52.32919254658385,49.94824016563148,-2.3809523809523725,Modeled pressure decreases,"For ward L, the scenario 'Increase modeled healthcare capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
S,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,46.94185645272602,45.15614216701174,-1.7857142857142847,Modeled pressure decreases,"For ward S, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RN,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,37.57058159232072,34.59439111613025,-2.9761904761904745,Modeled pressure decreases,"For ward RN, the scenario 'Increase modeled healthcare capacity by 20%' produces a -2.98-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KW,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,67.0795689817429,66.48433088650481,-0.5952380952380878,Modeled pressure decreases,"For ward KW, the scenario 'Increase modeled healthcare capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
A,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,41.01221845787063,40.41698036263254,-0.5952380952380878,Modeled pressure decreases,"For ward A, the scenario 'Increase modeled healthcare capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
C,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,56.042960662525886,55.44772256728778,-0.595238095238102,Modeled pressure decreases,"For ward C, the scenario 'Increase modeled healthcare capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
D,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,48.178602798168015,47.58336470292993,-0.5952380952380878,Modeled pressure decreases,"For ward D, the scenario 'Increase modeled healthcare capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FS,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,45.21378380074032,42.83283141978794,-2.38095238095238,Modeled pressure decreases,"For ward FS, the scenario 'Increase modeled healthcare capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GS,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,48.59817115251898,46.81245686680469,-1.7857142857142918,Modeled pressure decreases,"For ward GS, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FN,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,48.796975970889015,47.60649978041282,-1.190476190476197,Modeled pressure decreases,"For ward FN, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
MW,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,46.19408369408369,43.21789321789322,-2.9761904761904674,Modeled pressure decreases,"For ward MW, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.98-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HW,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,40.54598782859652,37.56979735240605,-2.9761904761904745,Modeled pressure decreases,"For ward HW, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.98-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GN,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,60.6060606060606,58.82034632034631,-1.7857142857142918,Modeled pressure decreases,"For ward GN, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
ME,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,52.551524562394114,50.17057218144174,-2.3809523809523725,Modeled pressure decreases,"For ward ME, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
E,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,51.18302591128679,49.992549720810594,-1.190476190476197,Modeled pressure decreases,"For ward E, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HE,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,55.37831733483909,54.18784114436289,-1.190476190476197,Modeled pressure decreases,"For ward HE, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RS,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,52.7969916556873,51.011277369973016,-1.7857142857142847,Modeled pressure decreases,"For ward RS, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
T,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,41.7090156220591,41.11377752682101,-0.5952380952380878,Modeled pressure decreases,"For ward T, the scenario 'Increase modeled public toilet capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
N,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,64.0159357550662,62.23022146935192,-1.7857142857142776,Modeled pressure decreases,"For ward N, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PS,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,54.29881109228936,51.917858711336976,-2.3809523809523867,Modeled pressure decreases,"For ward PS, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PN,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,59.6085074345944,58.4180312441182,-1.190476190476197,Modeled pressure decreases,"For ward PN, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
B,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,60.99269088399524,58.61173850304287,-2.3809523809523725,Modeled pressure decreases,"For ward B, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RC,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,47.792364640190726,45.41141225923834,-2.3809523809523867,Modeled pressure decreases,"For ward RC, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KE,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,42.672062237279626,42.07682414204153,-0.5952380952380949,Modeled pressure decreases,"For ward KE, the scenario 'Increase modeled public toilet capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
L,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,52.32919254658385,50.54347826086956,-1.7857142857142847,Modeled pressure decreases,"For ward L, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
S,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,46.94185645272602,46.34661835748792,-0.595238095238102,Modeled pressure decreases,"For ward S, the scenario 'Increase modeled public toilet capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RN,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,37.57058159232072,36.38010540184454,-1.1904761904761827,Modeled pressure decreases,"For ward RN, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KW,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,67.0795689817429,65.88909279126672,-1.1904761904761756,Modeled pressure decreases,"For ward KW, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
A,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,41.01221845787063,38.03602798168016,-2.9761904761904745,Modeled pressure decreases,"For ward A, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.98-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
C,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,56.042960662525886,55.44772256728778,-0.595238095238102,Modeled pressure decreases,"For ward C, the scenario 'Increase modeled public toilet capacity by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
D,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,48.178602798168015,45.79765041721563,-2.3809523809523867,Modeled pressure decreases,"For ward D, the scenario 'Increase modeled public toilet capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FS,public_toilet_capacity_plus_20,Increase modeled public toilet capacity by 20%,Sanitation,Population per public toilet,45.21378380074032,43.42806951502604,-1.7857142857142847,Modeled pressure decreases,"For ward FS, the scenario 'Increase modeled public toilet capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Sanitation, through Population per public toilet. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GS,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,48.59817115251898,48.30055210489992,-0.2976190476190581,Modeled pressure decreases,"For ward GS, the scenario 'Increase modeled green-space count by 20%' produces a -0.30-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FN,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,48.796975970889015,47.606499780412825,-1.1904761904761898,Modeled pressure decreases,"For ward FN, the scenario 'Increase modeled green-space count by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
MW,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,46.19408369408369,45.59884559884559,-0.5952380952380949,Modeled pressure decreases,"For ward MW, the scenario 'Increase modeled green-space count by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HW,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,40.54598782859652,40.24836878097748,-0.2976190476190439,Modeled pressure decreases,"For ward HW, the scenario 'Increase modeled green-space count by 20%' produces a -0.30-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GN,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,60.6060606060606,59.71320346320346,-0.8928571428571388,Modeled pressure decreases,"For ward GN, the scenario 'Increase modeled green-space count by 20%' produces a -0.89-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
ME,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,52.551524562394114,50.46819122906079,-2.0833333333333286,Modeled pressure decreases,"For ward ME, the scenario 'Increase modeled green-space count by 20%' produces a -2.08-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
E,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,51.18302591128679,49.397311625572506,-1.7857142857142847,Modeled pressure decreases,"For ward E, the scenario 'Increase modeled green-space count by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HE,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,55.37831733483909,54.18784114436289,-1.190476190476197,Modeled pressure decreases,"For ward HE, the scenario 'Increase modeled green-space count by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RS,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,52.7969916556873,51.30889641759207,-1.4880952380952337,Modeled pressure decreases,"For ward RS, the scenario 'Increase modeled green-space count by 20%' produces a -1.49-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
T,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,41.7090156220591,41.41139657444005,-0.297619047619051,Modeled pressure decreases,"For ward T, the scenario 'Increase modeled green-space count by 20%' produces a -0.30-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
N,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,64.0159357550662,63.123078612209056,-0.8928571428571388,Modeled pressure decreases,"For ward N, the scenario 'Increase modeled green-space count by 20%' produces a -0.89-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PS,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,54.29881109228936,52.21547775895603,-2.083333333333336,Modeled pressure decreases,"For ward PS, the scenario 'Increase modeled green-space count by 20%' produces a -2.08-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PN,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,59.6085074345944,59.31088838697534,-0.297619047619051,Modeled pressure decreases,"For ward PN, the scenario 'Increase modeled green-space count by 20%' produces a -0.30-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
B,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,60.99269088399524,60.695071836376194,-0.2976190476190439,Modeled pressure decreases,"For ward B, the scenario 'Increase modeled green-space count by 20%' produces a -0.30-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RC,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,47.792364640190726,46.60188844971454,-1.1904761904761898,Modeled pressure decreases,"For ward RC, the scenario 'Increase modeled green-space count by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KE,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,42.672062237279626,40.29110985632724,-2.3809523809523867,Modeled pressure decreases,"For ward KE, the scenario 'Increase modeled green-space count by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
