police_location_id,source_feature_id,object_id,feature_id,name,subtype,type_code,location,ward_code_source,brd_line_no,remarks,working_hours,year_construct,no_of_floors,no_of_rooms,employee_quantity,employee_male,employee_female,employee_disabled,cctv_service,fire_audit,fire_extinguishing_system,structural_audit,ramp_disabled,bathroom_facility,water_tank_capacity,created_date,created_user,last_edited_date,last_edited_user,edu_update_time,edu_update_user,latitude,longitude,source,source_file,verification_status,coordinate_valid,source_ward,gis_ward,ward_match,urban_ward_code
POLICE_011,PS06000000001,11,PS06000000001,State Inteligence Department Mumbai,Office,1,"Lokmaya Tilak Coloney Road, In Front of Laxumi Krupa CHS Near Light Pol No LNR 61-5 Near Dadar Station, Dadar East, Mumbai, 400014",F/N,,,,,,,,,,,,,,,,,,1566133069000.0,DMMASTER,1566308576000.0,DMMASTER,,,19.0180835,72.8459614,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,FN,FN,True,FN
POLICE_012,PS15204700045,12,PS15204700045,Khar Police Station,Station,1,"Khar Police Station, Swami Vivekanand Rd., Ram Krishna Nagar, Khar West, Mumbai 400052.",H/W,26000450,Dattatray Pandurang Bhargude   9870269197 kharpolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1566308456000.0,DMMASTER,,,19.0726959,72.8378859,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,HW,HW,True,HW
POLICE_013,PS13078800131,13,PS13078800131,Tardeo Police Station,Station,1,"Tardeo Officer Quarter B No.1 Gr. Fl., M.P.Mill, Compound, Tardeo, Mumbai-400034. Nagesh Sambhaji Jadhav 9967837888 tardeopolicestation@mtnl.net.in",,23534114,,,,,,,,,,,,,,,,,1648095438000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,1648184608000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,18.9716976,72.8184715,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,,D,False,D
POLICE_015,PS10000010641,15,PS10000010641,D N Nagar Police Station,Station,1,"New Link Road, Shiv Nagar, D N Nagar, Andheri (W) Mumbai 400058.",K/W,"26304002, 9011097248",,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1648533320000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,19.1221937,72.8297873,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,KW,KW,True,KW
POLICE_016,PS17272800048,16,PS17272800048,Jogeshwari Police Station,Station,1,"Swami compound, Caves Road, Jogeshwari (East), Mumbai - 400060.",K/E,28210763,Pradeep Baburao Kale  9870458236 jogeshwaripolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1566308601000.0,DMMASTER,,,19.1377406,72.8544366,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,KE,KE,True,KE
POLICE_017,PS18238600049,17,PS18238600049,Sahar Police Station,Station,1,"Sahar Indian Olil Road, Opp. Hotel Hayyat Regency, Sahar Airport Road, Andheri (E), Mumbai - 400099.",K/E,28258783,Prashant Kashinath Marde 9870175255 saharpolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1566308532000.0,DMMASTER,,,19.0999268,72.870195,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,KE,KE,True,KE
POLICE_018,PS19163200011,18,PS19163200011,Wadala T.T. Police Station,Station,1,"Wadala Truck Treminal, MMRDA Compound, Near R.T.O. Office, Wadala (E), Mumbai- 400037.",F/N,24036645,Suhas Sampatrao Garud 9850810681 wttpolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1566308469000.0,DMMASTER,1445731200000.0,Ajit N Deshmukh,19.033083,72.875038,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,FN,FN,True,FN
POLICE_019,PS15139300020,19,PS15139300020,Bhoiwada Police Station,Station,1,"Bhoiwada, Opp. Sadakant Dhavan Khashaba Jadhav Marg, Parel, Mumbai-14.",F/S,24144220,Shirish Sawant  9870492753 bhoiwadapolicestn@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1566308542000.0,DMMASTER,1445731200000.0,Ajit N Deshmukh,19.0066914,72.8439134,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,FS,FS,True,FS
POLICE_020,PS16126500022,20,PS16126500022,Rafi Ahmed Kidwai Marg Police Station,Station,1,"Kidwai Nagar, Wadala, Mumbai - 400031.",F/S,24185618,Arun Vithhal Inarkar   9870150140  rakmargpolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1566308475000.0,DMMASTER,1445731200000.0,Ajit N Deshmukh,19.0047509,72.8543443,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,FS,FS,True,FS
POLICE_024,PS16109600001,24,PS16109600001,Sewree Police Station,Station,1,"Ray Road, Darukhana, Sewree, Mumbai-400010.",F/S,23716139,"Sr. PI - Shri. Bharat Gaijwad, Mobile No.- 8097007662 sewripolicestation@mtnl.net.in",,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1566308537000.0,DMMASTER,1445731200000.0,Ajit N Deshmukh,18.978244,72.849051,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,FS,E,False,E
POLICE_025,PS23237900074,25,PS23237900074,Police Station-2323790001073,Station,1,,N,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154646000.0,DMMASTER,,,19.103022,72.915932,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,N,N,True,N
POLICE_027,PS14100500005,27,PS14100500005,Police Station-1410050000289,Station,1,,E,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154230000.0,DMMASTER,,,18.980703,72.826149,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,E,E,True,E
POLICE_028,PS25259600077,28,PS25259600077,Vikhroli Police Station,Station,1,"Kannamwar Nagar 2, Near Vikas College, Vikhroli (E), Mumbai-83. Dinesh Manikrao Desai 9594059444  vikhrolipstn@gmail.com",S,25789366,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154666000.0,DMMASTER,,,19.1187619,72.9374089,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,S,S,True,S
POLICE_029,PS16321900078,29,PS16321900078,Malad Police Station,Station,1,"Malad Police Station, Somvar Bazar, Underai Road, Malad (west), Near S V Road, Mumbai - 400064.  Shashank Sandbhor   9870157955 maladpolicestation@mtnl.net.in",P/N,28821482,Re- Locate,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154673000.0,DMMASTER,,,19.1834693,72.8434862,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,PN,PN,True,PN
POLICE_030,PS17338100079,30,PS17338100079,Kurar Police Station,Station,1,"Shantaram Talao, Western Express Highway, Konkanipada, Malad (E), Mumbai-400097. Raghvendra Madanlal Thakur 9870236236 kurarpolicestation@mtnl.net.in",P/N,28490444,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154683000.0,DMMASTER,,,19.185535,72.859337,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,PN,PN,True,PN
POLICE_031,PS13339900082,31,PS13339900082,Malwani Police Station,Station,1,"Gate No.5, Shahid Abdul Hamid Marg, Malwani, Malad (W), Mumbai- 400095.  Milind Khetle 9821592487 malvanipolicestation@mtnl.net.in",P/N,28810048,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154718000.0,DMMASTER,,,19.191673,72.822197,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,PN,PN,True,PN
POLICE_032,PS16333000083,32,PS16333000083,Bangur Nagar Police Station,Station,1,"Malad Police Station Compound, Underai Road, Malad (W), Mumbai - 400064.  Santosh Dyaneshwar Bhandare 9870474901 bangurnagarpolicestn@mtnl.net.in",P/N,28810142,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154723000.0,DMMASTER,,,19.1837977,72.8448145,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,PN,PN,True,PN
POLICE_033,PS16303000084,33,PS16303000084,Goregaon Police Station,Station,1,"S.V.Road, Near Cinemax Theatre, Goregaon (West), Mumbai - 400062.  Sunil Dattatray Wadke 9892097890 goregaonpolicestation@mtnl.net.in goregaonpolice@gmail.com",P/S,28723252,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154744000.0,DMMASTER,,,19.15729,72.845757,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,PS,PS,True,PS
POLICE_034,PS13368400102,34,PS13368400102,Charkop Police Station,Station,1,"C.T.S. No. 03 A,Plot No.150, 152,153,155, R.D.P. 1, Netaji Subhashchandra Bose Marg, Charkop, Kandivali (w), Mumbai - 400067.  Ramchandra T. Gaikwad  9870241424 charkoppolicestation@mtnl.net.in",R/S,28682211,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154794000.0,DMMASTER,,,19.214643,72.820671,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,RS,RS,True,RS
POLICE_035,PS16359800104,35,PS16359800104,Kandivali Police Station,Station,1,"S.V.Road, Near M.T.N.L. Office, Parekh Nagar, Kandivali (W), Mumbai-400067. Mukund Pawar 9870157825 kandivali police station@gmail.com kandivalipolicestation@mtnl.net.in",R/S,28050904,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154812000.0,DMMASTER,,,19.209669,72.850548,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,RS,RS,True,RS
POLICE_036,PS18341700105,36,PS18341700105,Samata Nagar Police Station,Office,1,"P T College Junction, Kandivali(W),  Mumbai-400101.  L.C.Bhalerao 9870464754   acpsamatanagar@mtnl.net.in  D.S.Yadav  9821458322  samtanagarpolicestation@mtnl.net.in",R/S,"28877624, 28850790",,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154823000.0,DMMASTER,,,19.199926,72.861526,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,RS,RS,True,RS
POLICE_037,PS17120400023,37,PS17120400023,(Chowky) Sewree Poice Station,Station,1,Sewree Poice Station,F/S,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1608185466000.0,DMMASTER,,,18.9973501,72.8535613,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,FS,FS,True,FS
POLICE_038,PS15228600056,38,PS15228600056,Santacruz Railway Police Station,Station,99,"Santacruz Railway Station office, Mumbai",H/W,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1608185466000.0,DMMASTER,1445731200000.0,Ajit N Deshmukh,19.089976,72.841479,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,HW,HW,True,HW
POLICE_039,PS15181800046,39,PS15181800046,Bandra Police Station,Station,1,"Hill Road, ,Near Petit High Schoo Bandra (W), Mumbai - 400050.",H/W,26513716,,Yes,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1606398263000.0,DMMASTER,1603200372000.0,Hande Someshwari Anil,19.0558698,72.8357572,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,HW,HW,True,HW
POLICE_040,PS17140400012,40,PS17140400012,(Duplicate) Wadala T T Police Station,Station,1,Wadala T T Police Station,F/N,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1606405316000.0,DMMASTER,,,19.016542,72.853745,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,FN,FN,True,FN
POLICE_041,PS14064600129,41,PS14064600129,L T Marg Police Station,Station,1,"27, R Champsi Road, Takwadi, Lohar Chawl, Nr Small Causes Court, Mumbai - 400002.",C,22069230,"22084303,  Dipak Nikam-8380096207  ltmargpolicestation@mtnl.net.in",,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1606403797000.0,DMMASTER,1604154762000.0,Singh Taraspal Madan,18.9453442,72.8305052,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,C,C,True,C
POLICE_042,PS11071000132,42,PS11071000132,Malbar Hill Police Station,Station,1,"Malbar Hill Police Station, Abhay Bunglow, B.G. Khair Marg, Malbar Hill, Mumbai-400006.",D,23637571,"Shri.Nilkanth Patil-9422256468,  malabarhillpolicestation@mtnl.net.in",,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1606403933000.0,DMMASTER,1604401196000.0,Ghavnalkar Dinesh Mohan,18.9494146,72.7992588,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,D,D,True,D
POLICE_043,PS14093000133,43,PS14093000133,Nagpada Police Station,Station,1,"Sofia Zuber Road, Chhota Sonapur, Kamathipura, Mumbai - 400008.",E,23092293,Jayprakash Bhosale-8097073070- nagpadapolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1606404290000.0,DMMASTER,1604401272000.0,Ghavnalkar Dinesh Mohan,18.9670527,72.82921,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,E,E,True,E
POLICE_044,PS13078800135,44,PS13078800135,V P Road Police Station,Station,1,"Vitthalbhai Patel Road, Near Church, Ambewadi, Girgaon, Mumbai-400004.",D,23821312,Gulabrao More-8108303399/vproadpolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1606404440000.0,DMMASTER,1604401404000.0,Ghavnalkar Dinesh Mohan,18.9558284,72.8237507,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,D,D,True,D
POLICE_045,PS18387700092,45,PS18387700092,Duplicate) Police Station-1838770001271,Station,1,,R/C,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1606406054000.0,DMMASTER,,,19.235952,72.867134,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,RC,RC,True,RC
POLICE_046,PS05000000003,46,PS05000000003,Mumbai Police South Region,Office,1,"Police Colony, New Nagpada, Madanpura, Mumbai, Maharashtra 400008",E,23078109,,,,,,,,,,,,,,,,,1566301340000.0,DMMASTER,1606405013000.0,DMMASTER,1604002370000.0,Ghavnalkar Dinesh Mohan,18.9675953,72.8323193,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,E,E,True,E
POLICE_047,PS14000000001,47,PS14000000001,Deputy Commissioner of Police,Station,1,"Shiv Shakti Complex, Shailendra Vidyalay Marg,, Dahisar East, Mumbai, Maharashtra 400068",R/N,28283889,,,,,,,,,,,,,,,,,1609738828000.0,DMMASTER,1626184218000.0,DMMASTER,,,19.2459401,72.861592,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,RN,RN,True,RN
POLICE_048,PS15076000127,48,PS15076000127,Yellow Gate Police Station,Station,1,"P. D. Mello Road, Near Karnak Bunder, Mumbai-400009.",A,66565009,Balkrishna Ganpati Gurav 9870405076yellowgatepolicestation@mtnl.net.in,Yes,1921.0,3.0,27.0,,,,,Yes,,No,,,5.0,20000 Ltr,1479825702000.0,DMMASTER,1649882399000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,1600424120000.0,Mane Minakshi Amar,18.9482339,72.8410289,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,A,A,True,A
POLICE_050,PS24192300152,50,PS24192300152,Shivaji Nagar Police Station,Station,1,"Near Dnyansampada High School, Behind Post Office, Govandi, Mumbai - 400043. Balasaheb Jadhav  9821525255 shivajinagarpolicestation@mtnl.net.in",M/E,25518961,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1647976700000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,19.0612531,72.9211795,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,ME,ME,True,ME
POLICE_051,PS10000000001,51,PS10000000001,Office of the ACP - Bandra Division,Station,1,"Sangeet Samrat Naushad Ali Marg  Near Ashirwad Bungalow, Bandra West",H/W,,,,,,,,,,,,,,,,,,1606407760000.0,DMMASTER,1606407931000.0,DMMASTER,,,19.0628173,72.822683,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,HW,HW,True,HW
POLICE_052,PS17326400080,52,PS17326400080,Dindoshi Police Station_Test,Station,1,"Vrindavan Society., Behind Saibaba Temple, NearWestern Exp. Highway, Malad (E), Mumbai- 400097. A.B.Sawant 9987333040dindoshipolicestation@mtnl.net.in",P/N,28777016,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1607920018000.0,DMMASTER,1578389700000.0,1 computer operator,19.178704,72.8574024,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,PN,PN,True,PN
POLICE_053,PS18257000053,53,PS18257000053,(Duplicate) Andheri Kurla Road Police Station,Station,1,"Andheri Kurla Road, Andheri East, Mumbai - 400069",K/E,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1608109032000.0,DMMASTER,,,19.111807,72.86879,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,KE,KE,True,KE
POLICE_054,PS22148700069,54,PS22148700069,Gowanpada Police Station,Station,1,"Prayag Nagar, Mahul, Trombay, Mumbai, Maharashtra 400071",M/E,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1608103217000.0,DMMASTER,,,19.019228,72.908676,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,ME,ME,True,ME
POLICE_055,PS18256600051,55,PS18256600051,MIDC Police Station,Station,1,"MIDC Central Road, Opp E.S.I.S Hospital, Andheri (E), Mumbai - 400093.",K/E,28368352,Rajaram Bhanudas Mandge   9870471184  midcpolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1648527233000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,19.117653,72.868155,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,KE,KE,True,KE
POLICE_056,PS25299200106,56,PS25299200106,Bhandup Police Station,Station,1,"Near Krishna Theatre, L. B. S. Marg, Bhandup (W), Mumbai - 400078. Shripat Kale   9870333434 bhanduppstn@gmail.com",S,25954467,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1649881483000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,19.1512852,72.9365403,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,S,S,True,S
POLICE_058,PS14068700120,58,PS14068700120,Mumbai Police Headquarters,Station,1,"Commissioner of Police Office, Dadabhai Naoroji Road, Opp Crawford Market, Dhobi Talao, Fort, Mumbai 400001",A,22620879,,,,,,,,,,,,,,,,,1649881931000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,1649882063000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,18.9466048,72.8330459,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,A,A,True,A
POLICE_059,PS10000010324,59,PS10000010324,288-TRIAL-Kurla Police Station 21,Station,1,"CST Road, Lal Bahadur Shastri Marg, Kapadia Nagar, Kurla, Mumbai, Maharashtra 400070  CST Road, Lal Bahadur Shastri Marg, Kapadia Nagar, Kurla, Mumbai, Maharashtra 400070",L,26500478,,,,,,,,,,,,,,,,,1648538374000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,1648538647000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,19.076687,72.878273,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,L,L,True,L
POLICE_060,PS14240600146,60,PS14240600146,Juhu Police Station,Station,1,"V.M.Road, Near Kalaniketan, Yamuna Nagar, Juhu, Vile Parle (W), Mumbai-400056.",K/W,26184432,Shashiknat Mane 9870267602                juhupolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1647930335000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,19.103172,72.8328046,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,KW,KW,True,KW
POLICE_061,PS10000010325,61,PS10000010325,Nehru Nagar Police Station,Station,1,"Nehru Nagar Colony, Kurla (E), Mumbai - 400024.  Pramod Khoparde   9821624266 neharunagar1985@gmail.com",L,25290946,,,,,,,,,,,,,,,,,1649879422000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,1649879975000.0,DMMASTER@PRSRVGISDB.MUMBASE.MCGM.GOV.IN,,,19.0587439,72.8806665,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,L,L,True,L
POLICE_062,PS14047300119,62,PS14047300119,Maharashtra State Police Headquarters,Office,2,"Maharashtra Police Mukhyalaya, Chhatrapati Shivaji Maharaj Marg, Colaba, Mumbai - 400001.",A,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154911000.0,DMMASTER,,,18.925152,72.83342,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,A,A,True,A
POLICE_063,PS15050800122,63,PS15050800122,Deputy Commissioner of Police DCP Z-I,Office,1,"109, Valchand Hirachand Marg, 1st Floor, Opp. G.P.O., Fort, Mumbai 400001.  Dr. Ravindra A.Shisave 9423121011 dcpzone1-mum@mahapolice.gov.in",A,22620453,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598154919000.0,DMMASTER,,,18.938305,72.835922,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,A,A,True,A
POLICE_065,PS10000010323,65,PS10000010323,Kurla Police Station,Station,1,"CST Road, Satejeevan Society, Kurla West",L,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598155210000.0,DMMASTER,,,19.0649449,72.8762344,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,L,L,True,L
POLICE_066,PS10000010324,66,PS10000010324,Chembur Traffice Division,Traffic Chowki,1,"Near Vijay Sales, Sumannagar, Chembur, Mumbai -74",M/W,,,,,,,,,,,,,,,,,,1479825702000.0,DMMASTER,1598155238000.0,DMMASTER,,,19.0538625,72.884099,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True,MW,MW,True,MW
